timestamp,open,high,low,close,volume,bid_vol,ask_vol,imbalance,spread_mean,spread_pct_mean,new_bid_orders,new_ask_orders,canceled_bid_orders,canceled_ask_orders,executed_bid_orders,executed_ask_orders,buy_sell_imbalance,returns_10sec,returns_30sec,returns_1min,volatility_1min,target,sma_fast,sma_slow,trend_indicator,high_volatility,rsi_14,norm_imbalance,imbalance_change,imbalance_acceleration,cum_imbalance_1min,cum_imbalance_3min,new_orders_ratio,log_order_ratio,bid_cancel_ratio,ask_cancel_ratio,relative_cancel_ratio,log_cancel_ratio,inv_liquidity,spread_change,spread_z_score,executed_orders_imbalance,normalized_exec_imbalance,returns_per_volume,market_impact,vol_imbalance_interaction,sign_consistency,aligned_flow,aligned_flow_cumul,original_target,target_sign,target_binned,target_log,target_ma_adjusted,target_lag_1,target_lag_2,target_lag_3,target_lag_5,target_lag_10,returns_mean_5,returns_std_5,returns_abs_sum_5,returns_mean_10,returns_std_10,returns_abs_sum_10,returns_mean_30,returns_std_30,returns_abs_sum_30,imbalance_momentum
2025-04-24 00:01:50+00:00,0.8498,0.8498,0.8498,0.8498,0,0,0,-0.04591967,0,0.02353495,0,0,0,0,0,0,0,0.0,0.0,-0.0005292561011466246,0.00021606789851067885,0.0015886090844903222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.72326583694641,0.0,0.0,0.0,-20.72326583694641,5.085147188053901e-06,0.0,0.0,0,0.0,0.0,0.0,9.921766597203865e-06,0.0,0.0,0.0,0.0015886090844903222,1.0,3.0,-2.7989829309204968,0.0015886090844903222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-24 00:02:50+00:00,0.85115,0.85115,0.85115,0.85115,0,0,0,-0.17875708,0,0.01174881,0,0,0,0,0,0,0,0.0,0.0,0.0015886090844903222,0.0006485469429585365,-0.002702226399576957,0.85115,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.07254248,0.0,0.0,-20.72326583694641,0.0,0.0,0.0,-20.72326583694641,7.619654808900684e-06,0.0,0.0,0,0.0,0.0,0.0,0.00011593235776619456,0.0,0.0,0.0,-0.002702226399576957,-1.0,-3.0,2.5682782513932825,-0.002702226399576957,0.0015886090844903222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-24 00:03:50+00:00,0.84885,0.84885,0.84885,0.84885,0,0,0,0.03486119,0,0.01178064,0,0,0,0,0,0,0,0.0,0.0,-0.002702226399576957,0.0011031793080736123,0.002945161100312177,0.84885,0.0,0.0,1.0,36.98630136986267,0.0,0.0,0.0,0.20916714,0.0,0.0,-20.72326583694641,0.0,0.0,0.0,-20.72326583694641,1.299615828386432e-05,0.0,0.0,0,0.0,0.0,0.0,3.8458143462822734e-05,0.0,0.0,0.0,0.002945161100312177,1.0,3.0,-2.5308909295729385,0.002945161100312177,-0.002702226399576957,0.0015886090844903222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-24 00:04:50+00:00,0.85135,0.85135,0.85135,0.85135,0,0,0,-0.20194362,0,0.01174605,0,0,0,0,0,0,0,0.0,0.0,0.002945161100312177,0.001202356984343116,0.002231749574205466,0.85135,0.8504499999999999,1.0,1.0,52.08333333333425,0.0,0.0,0.0,-1.21166172,-2.07503706,0.0,-20.72326583694641,0.0,0.0,0.0,-20.72326583694641,1.4122945255943458e-05,0.0,0.0,0,0.0,0.0,0.0,0.00024280832195053216,0.0,0.0,0.0,0.002231749574205466,1.0,3.0,-2.651354519953128,0.002231749574205466,0.002945161100312177,-0.002702226399576957,0.0015886090844903222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-24 00:05:50+00:00,0.85325,0.85325,0.85325,0.85325,0,0,0,-0.232694,0,0.01171989,0,0,0,0,0,0,0,0.0,0.0,0.002231749574205466,0.0009111079484128358,0.0010547905068853947,0.85325,0.8511500000000001,1.0,1.0,99.99968181919421,0.0,0.0,0.0,-1.3961640000000002,-2.39865858,0.0,-20.72326583694641,0.0,0.0,0.0,-20.72326583694641,1.067808493352411e-05,0.0,0.0,0,0.0,0.0,0.0,0.0002120093529479764,0.0,0.0,0.0,0.0010547905068853947,1.0,3.0,-2.976833746337842,0.0010547905068853947,0.002231749574205466,0.002945161100312177,-0.002702226399576957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-24 00:06:40+00:00,0.85415,0.85415,0.85415,0.85415,0,0,0,-0.23945375,0,0.01170755,0,0,0,0,0,0,0,0.0,0.0,0.0010547905068853947,0.00043061642123347403,0.0,0.854,0.8526222222222223,1.0,1.0,99.99950000249999,0.0,0.0,0.0,-1.42996275,-3.77023328,0.0,-20.72326583694641,0.0,0.0,0.0,-20.72326583694641,5.041463282411959e-06,0.0,0.0,0,0.0,0.0,0.0,0.00010311271687593498,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0,-0.0001706027955438801,0.0010547905068853947,0.002231749574205466,0.002945161100312177,0.0015886090844903222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038706816
2025-04-24 00:06:50+00:00,0.85415,0.85415,0.85415,0.85415,0,0,0,-0.23945375,0,0.01170755,0,0,0,0,0,0,0,0.0,0.0,0.0010547905068853947,0.00043061642123347403,0.00011707545513073292,0.85415,0.8529166666666667,1.0,1.0,99.99950000249999,0.0,0.0,0.0,-1.4367225,-4.04454822,0.0,-20.72326583694641,0.0,0.0,0.0,-20.72326583694641,5.041463282411959e-06,0.0,0.0,0,0.0,0.0,0.0,0.00010311271687593498,0.0,0.0,0.0,0.00011707545513073292,1.0,2.0,-3.931533774270696,-4.476219434494205e-06,0.0,0.0010547905068853947,0.002231749574205466,-0.002702226399576957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012139333999999996
2025-04-24 00:07:00+00:00,0.85425,0.85425,0.85425,0.85425,0,0,0,-0.2215528,0,0.01170618,0,0,0,0,0,0,0,0.00011707545513073292,0.00011707545513073292,0.00011707545513073292,4.779585441240211e-05,0.0,0.8541666666666666,0.8530777777777777,1.0,1.0,99.99951724370986,0.0,0.01790095,0.01790095,-1.41882155,-4.0641574,0.0,-20.72326583694641,0.0,0.0,0.0,-20.72326583694641,5.595068750053733e-07,-0.00011701850515266621,0.0,0,0.0,117075.45513073291,117075.45513073291,1.0589305373460041e-05,1.0,0.0,0.0,0.0,0.0,-1.0,-0.0,-0.00012155167456522712,0.00011707545513073292,0.0,0.0010547905068853947,0.002945161100312177,0.0,2.3415091026146583e-05,5.2357735233809063e-05,0.00011707545513073292,0.0,0.0,0.0,0.0,0.0,0.0,-0.051282798
2025-04-24 00:07:10+00:00,0.85425,0.85425,0.85425,0.85425,0,0,0,-0.2215528,0,0.01170618,0,0,0,0,0,0,0,0.0,0.00011707545513073292,0.00011707545513073292,4.779585441240211e-05,0.0,0.8541833333333333,0.8532388888888889,1.0,1.0,99.99951724370986,0.0,0.0,-0.01790095,-1.4009206,-4.08376658,0.0,-20.72326583694641,0.0,0.0,0.0,-20.72326583694641,5.595068750053733e-07,0.0,0.0,0,0.0,0.0,0.0,1.0589305373460041e-05,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0,-0.00012155167456522712,0.0,0.00011707545513073292,0.0,0.002231749574205466,0.0,2.3415091026146583e-05,5.2357735233809063e-05,0.00011707545513073292,0.0,0.0,0.0,0.0,0.0,0.0,-0.003921836000000001
2025-04-24 00:07:20+00:00,0.85425,0.85425,0.85425,0.85425,0,0,0,-0.2215528,0,0.01170618,0,0,0,0,0,0,0,0.0,0.00011707545513073292,0.00011707545513073292,4.779585441240211e-05,0.0,0.8542,0.8534,1.0,1.0,99.99860001959972,0.0,0.0,0.0,-1.38301965,-4.1033757600000005,0.0,-20.72326583694641,0.0,0.0,0.0,-20.72326583694641,5.595068750053733e-07,0.0,0.0,0,0.0,0.0,0.0,1.0589305373460041e-05,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0,-0.00012155167456522712,0.0,0.0,0.00011707545513073292,0.0010547905068853947,0.0,2.3415091026146583e-05,5.2357735233809063e-05,0.00011707545513073292,1.1707545513073292e-05,3.702250963139622e-05,0.00011707545513073292,0.0,0.0,0.0,0.0022282400000000037
