price,quantity,order_type,timestamp,value
0.8731,271.0,ASK,2025-04-23 23:19:25.118841,236.6101
0.8732,1599.0,ASK,2025-04-23 23:19:25.118841,1396.2468
0.8733,495.0,ASK,2025-04-23 23:19:25.118841,432.2835
0.8735,1106.0,ASK,2025-04-23 23:19:25.118841,966.091
0.8736,163.0,ASK,2025-04-23 23:19:25.118841,142.3968
0.8737,26.0,ASK,2025-04-23 23:19:25.118841,22.7162
0.8738,2258.0,ASK,2025-04-23 23:19:25.118841,1973.0404
0.8739,464.0,ASK,2025-04-23 23:19:25.118841,405.4896
0.874,2895.0,ASK,2025-04-23 23:19:25.118841,2530.23
0.8741,1407.0,ASK,2025-04-23 23:19:25.118841,1229.8587
0.8742,583.0,ASK,2025-04-23 23:19:25.118841,509.6586
0.8743,11.0,ASK,2025-04-23 23:19:25.118841,9.6173
0.8744,1332.0,ASK,2025-04-23 23:19:25.118841,1164.7007999999998
0.8746,497.0,ASK,2025-04-23 23:19:25.118841,434.6762
0.8747,1300.0,ASK,2025-04-23 23:19:25.118841,1137.1100000000001
0.8748,1220.0,ASK,2025-04-23 23:19:25.118841,1067.256
0.8749,8.0,ASK,2025-04-23 23:19:25.118841,6.9992
0.875,6971.0,ASK,2025-04-23 23:19:25.118841,6099.625
0.8751,472.0,ASK,2025-04-23 23:19:25.118841,413.0472
0.8752,30.0,ASK,2025-04-23 23:19:25.118841,26.256
0.8753,4766.0,ASK,2025-04-23 23:19:25.118841,4171.6798
0.8754,4895.0,ASK,2025-04-23 23:19:25.118841,4285.083
0.8755,12.0,ASK,2025-04-23 23:19:25.118841,10.506
0.8756,55.0,ASK,2025-04-23 23:19:25.118841,48.158
0.8757,33068.0,ASK,2025-04-23 23:19:25.118841,28957.6476
0.8758,3393.0,ASK,2025-04-23 23:19:25.118841,2971.5894000000003
0.8759,4069.0,ASK,2025-04-23 23:19:25.118841,3564.0371
0.876,19.0,ASK,2025-04-23 23:19:25.118841,16.644
0.8762,3606.0,ASK,2025-04-23 23:19:25.118841,3159.5771999999997
0.8764,574.0,ASK,2025-04-23 23:19:25.118841,503.05359999999996
0.8765,456.0,ASK,2025-04-23 23:19:25.118841,399.68399999999997
0.8769,540.0,ASK,2025-04-23 23:19:25.118841,473.526
0.8771,4875.0,ASK,2025-04-23 23:19:25.118841,4275.8625
0.8772,6.0,ASK,2025-04-23 23:19:25.118841,5.263199999999999
0.8773,6.0,ASK,2025-04-23 23:19:25.118841,5.2638
0.8774,464.0,ASK,2025-04-23 23:19:25.118841,407.11359999999996
0.8775,109.0,ASK,2025-04-23 23:19:25.118841,95.6475
0.8776,712.0,ASK,2025-04-23 23:19:25.118841,624.8512000000001
0.8777,817.0,ASK,2025-04-23 23:19:25.118841,717.0809
0.8779,19.0,ASK,2025-04-23 23:19:25.118841,16.6801
0.878,24.0,ASK,2025-04-23 23:19:25.118841,21.072
0.8781,715.0,ASK,2025-04-23 23:19:25.118841,627.8415
0.8782,464.0,ASK,2025-04-23 23:19:25.118841,407.4848
0.8784,657.0,ASK,2025-04-23 23:19:25.118841,577.1088
0.8785,110.0,ASK,2025-04-23 23:19:25.118841,96.63499999999999
0.8786,46.0,ASK,2025-04-23 23:19:25.118841,40.415600000000005
0.8787,1595.0,ASK,2025-04-23 23:19:25.118841,1401.5265000000002
0.8788,8.0,ASK,2025-04-23 23:19:25.118841,7.0304
0.8789,4784.0,ASK,2025-04-23 23:19:25.118841,4204.6576000000005
0.879,11.0,ASK,2025-04-23 23:19:25.118841,9.669
0.8792,510.0,ASK,2025-04-23 23:19:25.118841,448.392
0.8794,58058.0,ASK,2025-04-23 23:19:25.118841,51056.2052
0.8795,26.0,ASK,2025-04-23 23:19:25.118841,22.866999999999997
0.8796,3975.0,ASK,2025-04-23 23:19:25.118841,3496.4100000000003
0.8797,464.0,ASK,2025-04-23 23:19:25.118841,408.18080000000003
0.8798,14.0,ASK,2025-04-23 23:19:25.118841,12.3172
0.88,2193.0,ASK,2025-04-23 23:19:25.118841,1929.84
0.8803,464.0,ASK,2025-04-23 23:19:25.118841,408.4592
0.8804,5981.0,ASK,2025-04-23 23:19:25.118841,5265.6723999999995
