Target Value,Frequency
-0.055395886165116925,1
-0.016298020954598424,1
-0.006075121210351031,1
-0.005395380205698852,1
-0.005207467730319548,1
-0.0050824419360557815,1
-0.004983478684794984,1
-0.004929866776219205,1
-0.004882649947289486,1
-0.004830633284241492,1
-0.004789636967288957,1
-0.004433581538111797,1
-0.004392949316347261,1
-0.004343105320304019,1
-0.004326633441042782,1
-0.004239533651298255,1
-0.004046990051149391,1
-0.003966286564204169,1
-0.003956478733926794,1
-0.003744255970953625,1
-0.0037389729508675584,1
-0.003651139508862866,1
-0.0036438436673523755,1
-0.0036200151807087577,1
-0.003585635049582536,1
-0.0035257321580892675,1
-0.003417051084913747,1
-0.003407735559720515,1
-0.0033848337609871937,1
-0.0032765783160728645,1
-0.0030453879941435558,1
-0.0029338499861610856,1
-0.0029316915860452264,1
-0.002898382702452129,1
-0.002852284570237451,1
-0.00281277468502783,1
-0.0027616362694896646,1
-0.002730897372876684,1
-0.002721977244270146,1
-0.0027124240816085443,1
-0.002702226399576957,1
-0.002701096645237877,1
-0.0026561894748491355,1
-0.00262827788065223,1
-0.0025735509153652636,1
-0.002570243588994714,1
-0.0025390963125397903,1
-0.0025314999136988314,1
-0.002515723270440251,1
-0.002472478954494761,1
-0.0024617548795498045,1
-0.002460024600245969,1
-0.002458296751536415,1
-0.0023642059223358824,1
-0.0023575175340366794,1
-0.00231826461334661,1
-0.0022623154798936396,1
-0.002255862273671694,1
-0.0022288697284298387,1
-0.002221572639579006,1
-0.0022213129128426656,1
-0.002218647734205992,1
-0.002216648194598436,1
-0.0022148394241418012,1
-0.0021933621933621916,1
-0.002187050359712228,1
-0.0021366253190100437,1
-0.002118270079435103,1
-0.0021128000469511354,1
-0.002111065501671283,1
-0.002100227524648557,1
-0.002095825813587915,1
-0.0020902281832433367,1
-0.002082730691350787,1
-0.0020808045777700457,1
-0.002057730780222977,1
-0.002015292513781075,1
-0.001999176809549086,1
-0.0019891183525420075,1
-0.0019786998777860942,1
-0.001978469595577459,1
-0.0019777790704438303,2
-0.0019251458014835077,1
-0.001911723362384099,1
-0.0018904642757854306,1
