epoch,step,test_loss,test_mae,train_loss,val_loss
0,49,,,0.00017219528672285378,
0,76,,,,1.7912541807163507e-05
1,99,,,2.2475138393929228e-05,
1,149,,,2.7213309294893406e-05,
1,153,,,,1.816535586840473e-05
2,199,,,1.096528194466373e-05,
2,230,,,,1.3580199265561532e-05
3,249,,,3.515680873533711e-05,
3,299,,,1.5699224604759365e-05,
3,307,,,,1.1751622878364287e-05
4,349,,,3.3282776712439954e-05,
4,384,,,,7.323501904465957e-06
5,399,,,1.965501724043861e-05,
5,449,,,1.6012272681109607e-05,
5,461,,,,9.362765922560357e-06
6,499,,,4.634401193470694e-06,
6,538,,,,7.533267307735514e-06
7,549,,,1.3828656847181264e-05,
7,599,,,3.205628308933228e-05,
7,615,,,,1.0251741514366586e-05
8,649,,,1.1262666703260038e-05,
8,692,,,,7.277639269887004e-06
9,699,,,6.467957064160146e-06,
9,749,,,2.100141682603862e-05,
9,769,,,,1.574036286910996e-05
10,799,,,1.3215428225521464e-05,
10,846,,,,7.71710529079428e-06
11,849,,,1.8243123122374527e-05,
11,899,,,8.397530109505169e-06,
11,923,,,,6.592389127035858e-06
12,949,,,3.772369382204488e-06,
12,999,,,9.196912287734449e-06,
12,1000,,,,7.047821327432757e-06
13,1049,,,7.0265241447486915e-06,
13,1077,,,,9.043234967975877e-06
14,1099,,,7.1408876465284266e-06,
14,1149,,,4.115821411687648e-06,
14,1154,,,,9.000701538752764e-06
15,1199,,,6.957091500225943e-06,
15,1231,,,,6.841307822469389e-06
16,1249,,,3.73185957869282e-06,
16,1299,,,8.877403161022812e-06,
16,1308,,,,6.770046638848726e-06
17,1349,,,9.256743851437932e-07,
17,1385,,,,6.960412974876817e-06
18,1399,,,2.185290895795333e-06,
18,1449,,,7.794022167217918e-06,
18,1462,,,,6.824061074439669e-06
19,1499,,,8.027592230064329e-06,
19,1539,,,,6.611465323658194e-06
20,1549,,,1.8207060747954529e-06,
20,1599,,,2.4608848434581887e-06,
20,1616,,,,6.94229038344929e-06
21,1649,,,2.4652122192492243e-06,
21,1693,,,,6.720699730067281e-06
22,1694,0.00023553913342766464,0.01488566119223833,,
