epoch,step,test_loss,test_mae,train_loss,val_loss
0,49,,,0.0001764185435604304,
0,99,,,1.4913417544448748e-05,
0,149,,,6.188645329530118e-06,
0,199,,,1.19930427899817e-06,
0,249,,,1.0017156455432996e-06,
0,299,,,1.2947237337357365e-05,
0,349,,,1.4553962728314218e-06,
0,399,,,2.255995241284836e-06,
0,449,,,2.3353318567842507e-07,
0,499,,,0.00015133613487705588,
0,549,,,3.6739382380801544e-07,
0,599,,,9.284897714678664e-06,
0,649,,,2.1178396991672344e-07,
0,699,,,8.671533180404367e-08,
0,749,,,1.1980039005266008e-07,
0,799,,,3.947447839891538e-05,
0,849,,,1.793842329789186e-06,
0,899,,,1.91923973034136e-05,
0,949,,,3.9778134919288277e-07,
0,960,,,,1.6737705266223202e-07
1,999,,,1.344774409517413e-05,
1,1049,,,2.973783739435021e-05,
1,1099,,,7.148768190745614e-07,
1,1149,,,5.097958819533233e-07,
1,1199,,,3.700448587551364e-07,
1,1249,,,1.9531516954884864e-06,
1,1299,,,7.911430657259189e-07,
1,1349,,,1.801723010430578e-05,
1,1399,,,1.753430524331634e-06,
1,1449,,,3.5325032513355836e-05,
1,1499,,,7.223491593322251e-06,
1,1549,,,5.539169478652184e-07,
1,1599,,,4.558501677820459e-05,
1,1649,,,3.6896915389661444e-07,
1,1699,,,1.7035623613992357e-06,
1,1749,,,1.6940444766078144e-05,
1,1799,,,0.0001379503810312599,
1,1849,,,2.9916833227616735e-05,
1,1899,,,3.2936934530880535e-06,
1,1921,,,,5.122072366248176e-07
2,1949,,,2.7673963813867886e-06,
2,1999,,,2.952640159037401e-07,
2,2049,,,9.223204870068002e-06,
2,2099,,,2.2379585971066263e-06,
2,2149,,,3.109755562036298e-05,
2,2199,,,4.0524853829992935e-05,
2,2249,,,5.9121955331420395e-08,
2,2299,,,3.143048132869808e-08,
2,2349,,,3.130438244625111e-06,
2,2399,,,6.411068511624762e-07,
2,2449,,,1.117541842177161e-06,
2,2499,,,0.00018575122521724552,
2,2549,,,4.880365054305003e-07,
2,2599,,,1.8680097468859458e-08,
2,2649,,,9.323913729986089e-08,
2,2699,,,5.828602752444567e-06,
2,2749,,,2.8778672458429355e-06,
2,2799,,,1.665304694142833e-07,
2,2849,,,2.2765701146454376e-07,
2,2882,,,,2.086104132104083e-06
3,2899,,,1.4294773791334592e-06,
3,2949,,,2.190479790442623e-06,
3,2999,,,2.837934334820602e-05,
3,3049,,,4.561188325169496e-05,
3,3099,,,1.9634803720691707e-06,
3,3149,,,4.567760242935037e-06,
3,3199,,,7.457054351789338e-08,
3,3249,,,3.010084583365824e-05,
3,3299,,,7.953957492645714e-09,
3,3349,,,1.313009533987497e-06,
3,3399,,,2.172276253986638e-06,
3,3449,,,5.2266557304392336e-08,
3,3499,,,9.513088912171952e-07,
3,3549,,,2.9973765776958317e-05,
3,3599,,,2.44908937929722e-06,
3,3649,,,4.613661531038815e-06,
3,3699,,,3.078566379599579e-08,
3,3749,,,1.5394624597320217e-07,
3,3799,,,7.671094863326289e-06,
3,3843,,,,2.936787041107891e-06
4,3849,,,3.4714823868853273e-06,
4,3899,,,4.059169441461563e-06,
4,3949,,,4.353693293523975e-05,
4,3999,,,1.137462277256418e-06,
4,4049,,,5.119426873534394e-07,
4,4099,,,2.0255392882972956e-06,
4,4149,,,2.0219579255353892e-07,
4,4199,,,1.384981032970245e-06,
4,4249,,,1.643811970097886e-06,
4,4299,,,7.664834811293986e-07,
4,4349,,,7.090192752912117e-07,
4,4399,,,3.124515046692977e-07,
4,4449,,,5.842749033035943e-06,
4,4499,,,1.127083237406623e-06,
4,4549,,,1.8824541712092469e-06,
4,4599,,,3.1070439945324324e-06,
4,4649,,,1.1290607062619529e-06,
4,4699,,,9.035889888764359e-06,
4,4749,,,7.460811957571423e-06,
4,4799,,,2.3523996333096875e-06,
4,4804,,,,4.4694079548435184e-08
5,4849,,,7.442378660016402e-07,
5,4899,,,1.8313425016458496e-06,
5,4949,,,4.044242700729228e-07,
5,4999,,,4.0858329157345e-05,
5,5049,,,2.3867134935073864e-09,
5,5099,,,2.1126274987182114e-06,
5,5149,,,1.0948899671348045e-06,
5,5199,,,1.5069429537106771e-05,
5,5249,,,4.395382802613312e-06,
5,5299,,,5.46587898497819e-07,
5,5349,,,2.9624039598274976e-05,
5,5399,,,3.216462118871277e-06,
5,5449,,,1.1493816600705031e-06,
5,5499,,,3.6795151459045883e-07,
5,5549,,,8.423246072197799e-06,
5,5599,,,1.5153697177083814e-06,
5,5649,,,7.653083230252378e-06,
5,5699,,,1.1716928383975755e-05,
5,5749,,,7.6498117778101e-06,
5,5765,,,,2.3735267404845217e-06
6,5799,,,6.172409712235094e-07,
6,5849,,,6.001655350473811e-08,
6,5899,,,3.364909616720979e-06,
6,5949,,,7.544680556748062e-06,
6,5999,,,7.439464752678759e-06,
6,6049,,,1.352330968984461e-06,
6,6099,,,3.407817530387547e-06,
6,6149,,,4.5997403219644184e-08,
