timestamp,timestamp,open,high,low,close,volume,quote_asset_volume,n_trades,taker_buy_base_volume,taker_buy_quote_volume
2025-03-11 19:10:00,1741720200.0,1951.22,1952.28,1948.25,1951.58,834.061,1626763.647474,2770.0,189.5853,369799.42882
2025-03-11 19:11:00,1741720260.0,1951.45,1951.98,1948.55,1949.69,383.2885,747639.477068,2208.0,199.4961,389053.50105
2025-03-11 19:12:00,1741720320.0,1949.69,1951.44,1948.65,1950.14,233.1625,454639.765768,1882.0,79.2705,154571.293215
2025-03-11 19:13:00,1741720380.0,1950.13,1953.48,1948.59,1953.44,403.593,787514.721681,2320.0,143.2731,279619.150751
2025-03-11 19:14:00,1741720440.0,1953.32,1953.32,1950.21,1952.17,276.6967,539955.240128,1454.0,172.9148,337408.356568
2025-03-11 19:15:00,1741720500.0,1952.17,1952.21,1947.3,1948.37,697.0043,1358772.256078,2668.0,234.9106,458014.981005
2025-03-11 19:16:00,1741720560.0,1948.37,1948.43,1946.19,1948.42,407.5983,793781.356383,1974.0,158.1419,307969.491245
2025-03-11 19:17:00,1741720620.0,1948.42,1949.41,1947.34,1949.27,266.0624,518500.880817,1627.0,91.7002,178699.451159
2025-03-11 19:18:00,1741720680.0,1949.28,1949.28,1942.88,1945.82,1216.2787,2365725.160044,3014.0,273.8987,532681.021943
2025-03-11 19:19:00,1741720740.0,1945.82,1949.39,1945.71,1949.39,243.4484,474155.507235,1070.0,138.4775,269660.645825
2025-03-11 19:20:00,1741720800.0,1949.49,1953.76,1948.02,1953.67,453.5075,884843.245294,2374.0,264.9897,517148.720936
2025-03-11 19:21:00,1741720860.0,1953.67,1956.03,1951.98,1956.02,297.6503,581640.994957,2579.0,151.0974,295277.303612
2025-03-11 19:22:00,1741720920.0,1956.03,1956.19,1951.56,1951.56,259.2529,506550.833602,2285.0,101.1678,197732.1224
2025-03-11 19:23:00,1741720980.0,1951.51,1954.25,1949.68,1950.46,276.1074,538846.560135,2192.0,94.9498,185291.532993
2025-03-11 19:24:00,1741721040.0,1950.45,1950.45,1947.74,1947.82,256.186,499347.339211,1932.0,75.687,147508.377282
2025-03-11 19:25:00,1741721100.0,1947.82,1950.0,1946.96,1950.0,267.5742,521388.698937,1478.0,69.4283,135280.762647
2025-03-11 19:26:00,1741721160.0,1950.0,1951.93,1949.8,1950.12,305.5376,595933.962458,1760.0,207.0755,403857.774207
2025-03-11 19:27:00,1741721220.0,1950.12,1954.09,1950.12,1954.0,540.7825,1055708.335524,2142.0,438.0416,855092.864683
2025-03-11 19:28:00,1741721280.0,1954.0,1955.86,1953.41,1953.93,475.0308,928401.173076,1694.0,334.8568,654449.481309
2025-03-11 19:29:00,1741721340.0,1953.83,1954.36,1951.77,1952.07,214.4078,418719.432204,1347.0,110.4161,215641.800925
2025-03-11 19:30:00,1741721400.0,1952.07,1952.65,1950.5,1951.24,216.6839,422938.855618,2359.0,74.6643,145737.277759
2025-03-11 19:31:00,1741721460.0,1951.24,1955.7,1951.24,1954.43,240.3347,469638.765494,1997.0,114.4319,223604.575671
2025-03-11 19:32:00,1741721520.0,1954.44,1956.42,1952.75,1956.13,446.4406,872914.119677,2191.0,165.7891,324127.684687
2025-03-11 19:33:00,1741721580.0,1956.12,1956.52,1954.27,1956.14,372.7149,728712.844745,1961.0,210.9878,412498.579202
2025-03-11 19:34:00,1741721640.0,1956.14,1957.79,1951.64,1952.22,261.6136,511369.323382,1760.0,86.6073,169375.314918
2025-03-11 19:35:00,1741721700.0,1952.23,1953.95,1951.93,1953.11,487.7872,952626.316627,1668.0,354.6109,692507.524353
2025-03-11 19:36:00,1741721760.0,1953.11,1953.73,1948.48,1950.06,961.5962,1875263.28876,3138.0,451.6597,880687.9364
2025-03-11 19:37:00,1741721820.0,1950.07,1951.65,1948.21,1951.65,455.579,888088.773125,2217.0,177.4811,345903.890875
2025-03-11 19:38:00,1741721880.0,1951.64,1953.25,1949.45,1952.3,202.7242,395718.554109,1730.0,85.352,166622.77928
2025-03-11 19:39:00,1741721940.0,1952.29,1953.22,1950.0,1953.06,311.1461,607241.407418,1855.0,191.0926,372926.525545
2025-03-11 19:40:00,1741722000.0,1953.05,1954.0,1950.84,1952.42,248.7737,485755.89287,1802.0,145.39,283897.252603
2025-03-11 19:41:00,1741722060.0,1952.42,1952.42,1949.41,1950.5,283.0281,551981.994269,1933.0,105.129,205001.465933
2025-03-11 19:42:00,1741722120.0,1950.5,1954.71,1950.45,1953.66,295.7885,577729.56042,2078.0,145.4039,283973.143264
2025-03-11 19:43:00,1741722180.0,1953.65,1953.99,1952.1,1952.99,561.4743,1096422.390185,1822.0,432.7858,845104.77012
2025-03-11 19:44:00,1741722240.0,1953.0,1955.39,1953.0,1954.89,181.6727,355115.037213,1134.0,93.7622,183262.482699
2025-03-11 19:45:00,1741722300.0,1954.88,1955.56,1951.24,1951.24,144.6966,282786.977948,1116.0,57.9166,113200.191083
2025-03-11 19:46:00,1741722360.0,1951.24,1952.99,1949.99,1950.74,218.8424,427017.432098,1699.0,107.3714,209489.316659
2025-03-11 19:47:00,1741722420.0,1950.73,1952.19,1949.5,1952.18,260.7347,508603.622623,1312.0,166.3328,324473.897753
2025-03-11 19:48:00,1741722480.0,1952.18,1956.9,1952.18,1956.57,301.0965,588584.330902,2060.0,206.6577,404014.016388
2025-03-11 19:49:00,1741722540.0,1956.58,1959.59,1956.58,1958.11,282.1432,552531.753957,2037.0,126.2358,247212.500558
2025-03-11 19:50:00,1741722600.0,1958.11,1959.0,1955.46,1956.63,915.5499,1791642.807271,3222.0,433.3621,847957.667642
2025-03-11 19:51:00,1741722660.0,1956.64,1956.64,1951.52,1953.29,261.5751,510968.164175,1973.0,84.689,165398.01284
2025-03-11 19:52:00,1741722720.0,1953.29,1953.29,1950.64,1952.24,319.3469,623248.051896,1679.0,93.2022,181887.451247
2025-03-11 19:53:00,1741722780.0,1952.23,1953.0,1951.25,1952.77,117.8409,230016.070405,1032.0,47.2163,92160.653034
2025-03-11 19:54:00,1741722840.0,1952.76,1955.91,1952.11,1954.24,302.5046,591302.78602,1839.0,215.8132,421844.999302
2025-03-11 19:55:00,1741722900.0,1954.24,1955.31,1951.97,1951.97,240.1959,469346.275121,1433.0,32.8518,64202.569237
2025-03-11 19:56:00,1741722960.0,1951.98,1951.98,1949.81,1949.97,266.3217,519492.536193,1019.0,141.0634,275150.105437
2025-03-11 19:57:00,1741723020.0,1949.97,1950.66,1949.18,1950.66,190.0142,370493.301599,839.0,112.9819,220287.309641
2025-03-11 19:58:00,1741723080.0,1950.66,1950.99,1950.14,1950.86,159.0113,310171.473354,725.0,111.0399,216591.388182
2025-03-11 19:59:00,1741723140.0,1950.85,1955.64,1950.01,1951.91,679.5783,1326982.39716,2786.0,276.399,539600.866057
2025-03-11 20:00:00,1741723200.0,1951.9,1953.58,1950.6,1953.32,388.8409,759124.158347,2960.0,252.5388,493022.274836
2025-03-11 20:01:00,1741723260.0,1953.33,1953.33,1945.0,1946.7,505.7746,985209.044441,2600.0,161.7896,315157.954474
2025-03-11 20:02:00,1741723320.0,1946.71,1950.28,1946.71,1949.46,290.4965,566246.804371,1705.0,145.8284,284232.197517
2025-03-11 20:03:00,1741723380.0,1949.47,1949.72,1946.6,1947.93,182.9876,356437.578621,1334.0,70.9572,138197.706792
2025-03-11 20:04:00,1741723440.0,1947.92,1950.51,1947.92,1950.03,95.1815,185549.217851,926.0,56.8007,110718.734557
2025-03-11 20:05:00,1741723500.0,1950.02,1950.72,1948.88,1950.49,1139.0541,2221091.188167,2029.0,77.0124,150168.675782
